                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.98435,                 1.1417,                 1.4023,                0.94106,                0.91667,                0.96148,                0.74125,                0.83766,                0.55232,                 1.3124,               0.003268,               0.003268,               0.003268
                     70,                 1.0035,                 1.1527,                 1.4127,                0.94044,                0.91095,                0.94592,                 0.7337,                0.83036,                0.57142,                 1.2714,               0.003169,               0.003169,               0.003169
                     71,                0.98874,                 1.1716,                 1.4101,                0.94619,                0.90175,                0.96753,                0.73632,                0.82422,                0.55313,                 1.2849,                0.00307,                0.00307,                0.00307
                     72,                0.98172,                 1.1371,                 1.4012,                0.95236,                0.89702,                0.95531,                 0.7376,                0.82683,                0.56462,                 1.2933,               0.002971,               0.002971,               0.002971
                     73,                0.97431,                 1.1374,                 1.3965,                0.92969,                0.89103,                0.95271,                0.75267,                0.81938,                0.56729,                 1.2856,               0.002872,               0.002872,               0.002872
                     74,                0.97136,                 1.1322,                 1.3975,                0.95589,                0.89744,                0.95433,                0.75389,                0.77425,                0.56405,                 1.2471,               0.002773,               0.002773,               0.002773
                     75,                 0.9707,                 1.1221,                 1.3932,                0.93926,                0.91667,                0.95529,                0.73953,                0.80333,                0.56894,                  1.274,               0.002674,               0.002674,               0.002674
                     76,                0.96053,                 1.1075,                 1.3834,                0.93312,                0.89443,                 0.9479,                0.74749,                0.81753,                0.56517,                  1.294,               0.002575,               0.002575,               0.002575
                     77,                0.96078,                 1.1126,                 1.3919,                0.94339,                0.91667,                0.95282,                0.73675,                0.82462,                0.56348,                 1.2943,               0.002476,               0.002476,               0.002476
                     78,                0.96858,                  1.124,                 1.3879,                0.93663,                0.91026,                0.95259,                0.74263,                0.79778,                 0.5552,                 1.2572,               0.002377,               0.002377,               0.002377
                     79,                0.95127,                 1.0944,                 1.3825,                0.92833,                0.91329,                0.94905,                0.74472,                0.80463,                0.55672,                 1.2578,               0.002278,               0.002278,               0.002278
                     80,                0.95711,                 1.0883,                  1.376,                0.95991,                0.89744,                0.95685,                0.73161,                0.82238,                0.54831,                 1.2934,               0.002179,               0.002179,               0.002179
                     81,                0.94723,                 1.0941,                 1.3737,                0.95194,                0.92308,                0.95405,                 0.7423,                0.79138,                0.55258,                  1.258,                0.00208,                0.00208,                0.00208
                     82,                0.96028,                 1.0926,                 1.3782,                 0.9408,                0.91689,                 0.9487,                0.74751,                 0.8108,                0.54978,                 1.2676,               0.001981,               0.001981,               0.001981
                     83,                0.94203,                 1.0872,                  1.368,                0.92557,                0.91667,                0.95231,                0.73758,                0.81881,                0.54518,                  1.264,               0.001882,               0.001882,               0.001882
                     84,                0.93448,                 1.0767,                 1.3627,                0.94148,                0.92818,                0.95288,                0.74551,                0.79375,                0.51452,                 1.2572,               0.001783,               0.001783,               0.001783
                     85,                0.93253,                  1.074,                 1.3629,                0.93552,                0.91026,                0.95367,                0.75842,                0.79384,                0.53219,                 1.2459,               0.001684,               0.001684,               0.001684
                     86,                0.93391,                 1.0747,                 1.3641,                0.94707,                0.91754,                0.96505,                0.75154,                0.80673,                0.52886,                 1.2713,               0.001585,               0.001585,               0.001585
                     87,                0.93731,                 1.0725,                 1.3653,                0.91375,                 0.9359,                0.95957,                0.75406,                0.79442,                0.52144,                 1.2641,               0.001486,               0.001486,               0.001486
                     88,                0.94028,                 1.0632,                 1.3637,                0.93986,                0.92308,                0.95947,                0.75294,                0.79422,                0.52005,                 1.2636,               0.001387,               0.001387,               0.001387
                     89,                0.92784,                 1.0534,                 1.3591,                0.95804,                0.87822,                0.95074,                0.74914,                0.79161,                0.54774,                 1.2519,               0.001288,               0.001288,               0.001288
                     90,                0.92812,                 1.0557,                 1.3552,                 0.9531,                0.91188,                0.96403,                0.75648,                0.80273,                0.52732,                 1.2759,               0.001189,               0.001189,               0.001189
                     91,                0.92104,                 1.0371,                 1.3535,                0.95886,                0.89655,                0.95255,                0.75065,                0.80788,                0.53979,                 1.2557,                0.00109,                0.00109,                0.00109
                     92,                0.90758,                 1.0333,                 1.3456,                0.94138,                0.92649,                0.95258,                0.74425,                0.81124,                0.54463,                 1.2614,               0.000991,               0.000991,               0.000991
                     93,                0.91724,                 1.0389,                 1.3469,                0.95889,                0.92308,                0.95475,                0.74915,                0.80172,                0.53309,                 1.2656,               0.000892,               0.000892,               0.000892
                     94,                0.91919,                 1.0455,                 1.3505,                0.95288,                0.90753,                0.95612,                0.75491,                0.78963,                0.51769,                  1.255,               0.000793,               0.000793,               0.000793
                     95,                0.90686,                 1.0411,                 1.3424,                0.95448,                0.91667,                0.95834,                0.75607,                0.77212,                0.50824,                 1.2316,               0.000694,               0.000694,               0.000694
                     96,                0.89998,                 1.0198,                 1.3384,                0.94634,                0.91667,                 0.9551,                 0.7558,                0.77264,                0.51894,                 1.2349,               0.000595,               0.000595,               0.000595
                     97,                0.89465,                 1.0129,                 1.3356,                0.95545,                0.91026,                 0.9567,                0.75332,                0.77871,                0.51161,                 1.2433,               0.000496,               0.000496,               0.000496
                     98,                 0.8926,                 1.0155,                 1.3312,                0.93504,                0.92268,                0.95089,                 0.7511,                0.78717,                0.51654,                 1.2458,               0.000397,               0.000397,               0.000397
                     99,                0.89926,                 1.0141,                 1.3387,                0.93503,                0.92949,                0.95481,                0.75811,                0.77163,                0.50711,                 1.2429,               0.000298,               0.000298,               0.000298
